Year,FSCS ID,Town,Library,Mailing Address,Street Address,County,Phone Number,Hours per Week,FY Ends,Population,Hours MLS,ALA MLS,Hours Librarian,FTE Librarians,Hours other,Other Staff,Total Hours,Total FTE,Weekly Volunteer Hrs,Square Feet,Cap. Revenue - Local Taxes,Cap. Revenue - State,Cap. Revenue - Federal, Cap. Revenue - Other ,Total Cap. Revenue , Local Tax , Per Capita Tax ,Other Income, Total Income , State Grant  , Federal Grant , Other Grant , Total Grants , Fee Revenue, Book Expense , E Expense, AV Expense,Total Media Expense , Per Capita Expense, Salaries , Employee Benefits , Total Staff Expense , Other Expense , Total Operating Expense , PC Total Expense ,Grant Expense, Capital Expense ,Adult Books,Juvenile Books,Books,Per Capita Books,E Books,Adult Video,Juvenile Video,Video,Adult Audio,Juvenile Audio,Audio,Total Holdings,Adult Subscriptions,Juvenile Subscriptions,Subscriptions,Databases,E serials,Adult Borrowers,Juvenile Borrowers,Borrowers,% of population who borrow,Visits,Per Capita Visits,Reference Trans.,Per Capita Reference Trans.,Adult Circulation,Juvinile Circulation,Total Circulation,Per Capita Circulation,Collection Turnover,Library Loans Out,Library Loans In,Adult Programs,Juvenile Programs,Young Adult Programs,Total Programs,Adult Prog. Attend.,Juvenile Prog. Attend.,Young Adult Prog. Attend.,Total Program Attendance,Per Capita Prog. Attend.,Home Deliveries,Day Care Deliveries,Other Deliveries,Number of Computers,Public Computers,Computer Trained,Computer Users per Week,Wireless Users per Week,Internet Type,filtered?,Name of filtering program,Meets Standards?,Library Type,Automated?,Automation Vendor,Location 1,ZIP+4,Web address,City
2011-2012,VT0096,MONKTON,Russell Memorial,PO Box 39 ,4333 State Prison Hollow Rd.,Addison,(802) 453-4471,14,12/31/2011,2024,0,0,14,0.35,0,0,14,0.35,0,600,$0.00,$0.00,$0.00,$0.00,$0.00,$16990.00,$8.39,$0.00,$16990.00,$0.00,$0.00,$0.00,$0.00,N/A,$2245.00,$0.00,$188.00,$2433.00,$1.20,N/A,N/A,$11123.00,$3302.00,$16858.00,$8.33,$0.00,$0 ,N/A,N/A,4752,2.35,0,N/A,N/A,0,N/A,N/A,180,4932,N/A,N/A,0,0,0,N/A,N/A,691,34.14%,2184,1.08,52,0.03,N/A,N/A,2428,1.2,0.49%,1,11,0,15,0,15,0,53,0,53,0.03,0,0,0,2,2,0,2,N/A,high speed,No,N/A,y-86,Municipal,No,N/A,"4333 State Prison Hollow Rd.
Monkton, VT 05469
(44.25427423400049, -73.12308526299967)",39,russelllibraryvt.wordpress.com,Monkton
2011-2012,VT0141,SHELDON,Sheldon Public,P.O. Box 66 ,1640 Main St.,Franklin,(802) 933-7323,14,12/31/2011,2166,0,0,14,0.35,0,0,14,0.35,0,384,$0.00,$0.00,$0.00,$0.00,$0.00,$4869.00,$2.25,$1300.00,$6169.00,$0.00,$0.00,$0.00,$0.00,N/A,$5867.00,$0.00,$141.00,$6008.00,$2.77,$794.00,$0.00,$794.00,$2157.00,$8959.00,$4.14,$0.00,$0 ,N/A,N/A,5753,2.66,0,75,55,130,20,12,32,5915,26,5,31,0,0,N/A,N/A,N/A,N/A,780,0.36,468,0.22,3613,1745,5358,2.47,0.91%,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,0,1,2,2,15,18,high speed,No,n/a,no,Incorporated,No,n/a,"1640 Main St.
Sheldon, VT 05483
(44.88064269600045, -72.94634853199966)",12,Sheldon-pl@vals.state.vt.us,Sheldon
2011-2012,VT0189,WILMINGTON,Pettee Memorial,PO Box 896,16 South Main Street,Windham,(802) 464-8557,35.69230769,06/30/2012,2124,0,0,56,1.4,2,0.05,58,1.45,22,2640,$0.00,$0.00,$0.00,$0.00,$0.00,$117050.00,$55.11,$4461.00,$121511.00,$100.00,$55.00,$0.00,$155.00,N/A,$13508.00,$131.00,$2472.00,$16111.00,$7.59,$64637.00,$4455.00,$69092.00,$22255.00,$107458.00,$50.59,$155.00,$0 ,8664,4780,13444,6.33,0,1529,500,2029,435,77,512,15985,15,4,19,25,0,N/A,N/A,2998,141.15%,18356,8.64,1092,0.51,11501,5732,17233,8.11,1.08%,13,240,14,107,6,127,166,2926,32,3124,1.47,0,0,0,9,6,20,126,35,high speed,Children Only,Action Alert,y-86,Municipal,Yes,Follett Destiny,"16 South Main Street
Wilmington, VT 05363
(42.867912757000454, -72.87196405799966)",896,petteelibrary.org,Wilmington
2011-2012,VT0032,CANAAN,Alice M. Ward Memorial,PO Box 134,27 Park St.,Essex,(802) 266-7135,28,12/31/2011,1092,0,0,28,0.7,28,0.7,56,1.4,0,3114,$0.00,$0.00,$0.00,$0.00,$0.00,$59408.00,$54.40,$8442.00,$67850.00,$100.00,$50.00,$1950.00,$2100.00,$0.00,N/A,N/A,N/A,$6386.00,$5.85,$38664.00,$3900.00,$42564.00,$17664.00,$66614.00,$61.00,$1950.00,$0 ,0,0,14875,13.62,0,0,0,496,0,0,168,15539,0,0,20,24,0,0,0,288,26.37%,7696,7.05,988,0.9,0,N/A,6112,5.6,0.39%,17,149,N/A,N/A,N/A,70,N/A,N/A,N/A,1017,0.93,0,0,0,8,6,5,55,15,high speed,No,N/A,y-86,Municipal,Yes,Library World,"27 Park St.
Canaan, VT 05903
(44.99548778500048, -71.53898926899967)",134,http://alicewardmemoriallibrary.wordpress.com/,Canaan
2011-2012,VT0038,CHITTENDEN,Chittenden Public,PO Box 90,223 Chittenden Road,Rutland,(802) 773-3531,16.57692308,06/30/2012,1103,0,0,12,0.3,0,0,12,0.3,4,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$10500.00,$9.52,$239.00,$10739.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1112.00,$89.00,$0.00,$1201.00,$1.09,$5364.00,$1778.00,$7142.00,$3952.00,$12295.00,$11.15,$0.00,$0 ,2450,573,3023,2.74,0,20,65,85,20,0,20,3128,4,0,4,24,0,492,229,721,65.37%,2704,2.45,572,0.52,N/A,N/A,1810,1.64,0.58%,1,25,9,35,1,45,224,525,107,856,0.78,0,0,0,4,10,6,34,30,high speed,Children Only,?,no,Municipal,Yes,Destiny,"223 Chittenden Road
Chittenden, VT 05737
(43.70065335200047, -72.95141306699963)",90,http://cplibrary.home.comcast.net/~cplibrary/,Chittenden
2011-2012,VT0166,WAITSFIELD,Joslin Memorial ,PO Box 359,4391 Main St.,Washington,(802) 496-4205,29.13461538,12/31/2011,2965,24,0.6,38,0.95,2,0.05,40,1,34,1357,$0.00,$0.00,$0.00,$0.00,$0.00,$46507.00,$15.69,$27036.00,$73543.00,$100.00,$124.00,$0.00,$224.00,N/A,$6763.00,$509.00,$815.00,$8087.00,$2.73,$34354.00,$2628.00,$36982.00,$27009.00,$72078.00,$24.31,$224.00,$0 ,6398,2872,9270,3.13,1061,0,0,0,449,147,596,9866,28,3,31,24,0,1069,58,1127,38.01%,10400,3.51,1040,0.35,9243,3209,12452,4.2,1.26%,90,210,17,56,2,75,460,475,37,972,0.33,10,0,1,7,5,125,50,10,high speed,No,N/A,y-86,Municipal,Yes,Koha,"4391 Main St.
Waitsfield, VT 05673
(44.19031787400047, -72.82419800399964)",359,www.joslinmemoriallibrary.com,Waitsfield
2011-2012,VT0157,THETFORD/POSTMILLS,George Peabody,PO Box 190,7922 Rte. 113,Orange,(802) 333-9724,8.576923077,12/31/2011,2612,10,0.25,15,0.375,0,0,15,0.375,2,858,$0.00,$0.00,$0.00,$0.00,$0.00,$5638.00,$2.16,$3015.00,$8653.00,$0.00,$0.00,$0.00,$0.00,N/A,$1325.00,$0.00,$1100.00,$2425.00,$0.93,N/A,N/A,$0.00,$8114.00,$10539.00,$4.03,$0.00,$0 ,4065,2600,6665,2.55,0,191,98,289,120,160,280,7234,12,3,15,27,0,174,68,242,9.26%,936,0.36,156,0.06,N/A,N/A,814,0.31,0.11%,3,10,9,47,N/A,56,45,412,0,457,0.17,0,0,0,2,1,2,1,25,high speed,No,N/A,no,Incorporated,Yes,Library World,"7922 Rte. 113
Post Mills, VT 05058
(43.88537623600047, -72.26091769099963)",190,thetfordlibraries.org,Post Mills
2011-2012,VT0209,STOCKBRIDGE/GAYSVILLE,Belcher Memorial,PO Box 144,4452 VT Rte. 107,Windsor,(802) 234-6608,9.615384615,12/31/2011,560,0,0,0,0,0,0,0,0,10,743,$2500.00,$0.00,$0.00,$0.00,$2500.00,$2500.00,$4.46,$0.00,$2500.00,$0.00,$0.00,$0.00,$0.00,$0.00,$120.00,$50.00,$0.00,$170.00,$0.30,$0.00,$0.00,$0.00,$15113.00,$15283.00,$27.29,$0.00,$0 ,1200,400,1600,2.86,0,200,150,350,120,112,232,2182,2,0,2,0,0,250,54,304,54.29%,312,0.56,260,0.46,N/A,N/A,756,1.35,0.35%,0,20,2,3,0,5,20,30,0,50,0.09,2,10,0,5,4,0,8,N/A,high speed,Yes,Norton,no,Incorporated,No,n/a,"4452 VT Rte. 107
Gaysville, VT 05746
(43.71022027300046, -72.75460689199963)",144,N/A,Gaysville
2011-2012,VT9998,DANBY,S.L. Griffith Memorial Library,74 S. Main St. ,74 S. Main St. ,Rutland,(802) 293-5106,N/R,N/R,1434,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,3500,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,0,N/R,N/R,"74 S. Main St.
Danby, VT 05739
(43.34579240400046, -72.99584026899964)",,N/R,Danby
2011-2012,VT0016,BENSON,Benson Public,PO Box 271,2724 Stage Rd.,Rutland,(802) 537-4181,N/R,N/R,1044,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,2400,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"2724 Stage Rd.
Benson, VT 05731
(43.7083662280005, -73.31029271699964)",271,N/R,Benson
2011-2012,VT0137,SAINT ALBANS,St. Albans Free,11 Maiden Ln.,11 Maiden Ln.,Franklin,(802) 524-1507,48.03846154,06/30/2012,12979,35,0.875,89,2.225,120,3,209,5.225,72,8621,$0.00,$0.00,$0.00,$0.00,$0.00,$314480.00,$24.23,$15412.00,$332080.00,$100.00,$0.00,$0.00,$100.00,$2188.00,$19900.00,$3500.00,N/A,$23400.00,$1.80,$193121.00,$59332.00,$252453.00,$56227.00,$332080.00,$25.59,$0.00,$0 ,24371,13625,37996,2.93,0,N/A,N/A,1672,N/A,N/A,1123,40791,N/A,N/A,72,29,0,N/A,N/A,8183,63.05%,74880,5.77,0,0,N/A,N/A,67659,5.21,1.66%,320,526,58,170,N/A,228,570,4852,N/A,5422,0.42,157,65,29,13,8,N/A,164,N/A,high speed,No,N/A,y-86,Incorporated,Yes,Follett,"11 Maiden Ln.
St. Albans, VT 05478
(44.812905129000455, -73.08188288599968)",1621,http://www.stalbansfreelibrary.org/,St. Albans
2011-2012,VT0114,PITTSFIELD,Roger Clark Memorial,PO Box 743,40 Village Green,Rutland,(802) 746-4067,4,12/31/2011,534,0,0,0,0,0,0,0,0,10,832,$0.00,$0.00,$0.00,$0.00,$0.00,$940.00,$1.76,$0.00,$940.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,N/A,N/A,$0.00,$490.00,$490.00,$0.92,$0.00,$0 ,2000,1200,3200,5.99,0,20,60,80,N/A,N/A,25,3305,1,1,2,1,0,N/A,N/A,211,39.51%,624,1.17,0,0,135,130,265,0.5,0.08%,0,0,N/A,N/A,N/A,9,N/A,N/A,N/A,200,0.37,0,0,150,1,1,5,0,N/A,high speed,No,N/A,no app.,Incorporated,No,N/A,"40 Village Green
Pittsfield, VT 05762
(43.770615241000485, -72.81253867699962)",743,http://pittsfieldlibrary.com,Pittsfield
2011-2012,VT0098,MONTPELIER,Kellogg Hubbard,135 Main St.,135 Main St.,Washington,(802) 223-3338,45.30769231,12/31/2011,17732,70,1.75,413,10.31875,108,2.7,521,13.01875,60,18449,$0.00,$0.00,$0.00,$0.00,$0.00,$405598.00,$22.87,$289401.00,$694999.00,$0.00,$53349.00,$12300.00,$65649.00,N/A,$47360.00,$1230.00,$15112.00,$63702.00,$3.59,$571886.00,$139105.00,$710991.00,$203060.00,$977753.00,$55.14,$0.00,$0 ,51989,30424,82413,4.65,0,3873,1273,5146,3638,1255,4893,92452,146,20,166,28,0,6907,1635,8542,48.17%,247728,13.97,41184,2.32,178101,112048,290149,16.36,3.14%,367,1472,266,270,N/A,536,3588,19171,N/A,22759,1.28,N/A,N/A,N/A,39,19,N/A,828,N/A,high speed,No,n/a,y-98,Incorporated,Yes,follett,"135 Main St.
Montpelier, VT 05602
(44.261425087000475, -72.57392397399963)",2909,Kellogghubbard.org,Montpelier
2011-2012,VT0019,BRANDON,Brandon Free Public,4 Franklin St.,4 Franklin St.,Rutland,(802) 247-8230,42.53846154,06/30/2012,5490,0,0,102,2.55,18,0.45,120,3,30,4426,$0.00,$0.00,$0.00,$0.00,$0.00,$85200.00,$15.52,$72511.00,$157711.00,$100.00,$103.00,$0.00,$203.00,N/A,$11504.00,$400.00,$2862.00,$14766.00,$2.69,$78718.00,$12871.00,$91589.00,$60638.00,$166993.00,$30.42,$0.00,$0 ,N/A,N/A,20411,3.72,0,N/A,N/A,2280,N/A,N/A,1070,23761,82,8,90,25,0,N/A,N/A,N/A,N/A,73060,13.31,7800,1.42,46869,10531,57400,10.46,2.42%,83,218,70,98,2,170,N/A,N/A,N/A,0,0,85,0,0,11,8,110,290,80,high speed,No,n/a,y-86,Incorporated,Yes,Mandarin,"4 Franklin St.
Brandon, VT 05733
(43.79797350700045, -73.08604463199964)",1112,www.brandonpubliclibrary.org,Brandon
2011-2012,VT0181,WESTMINSTER WEST,Westminster West Public,3409 Westminster W. Rd.,3409 Westminster W. Rd.,Windham,(802) 387-4682,13.55769231,06/30/2012,3183,0,0,10,0.25,0,0,10,0.25,11,1224,$0.00,$0.00,$0.00,$0.00,$0.00,$3000.00,$0.94,$11254.00,$14254.00,$100.00,$105.00,$0.00,$205.00,$0.00,N/A,N/A,N/A,$2605.00,$0.82,$6072.00,$465.00,$6537.00,$7043.00,$16185.00,$5.08,$0.00,$0 ,2901,3131,6032,1.9,0,342,213,555,71,31,102,6689,4,0,4,25,0,555,142,697,21.9%,1976,0.62,52,0.02,535,869,1404,0.44,0.21%,8,48,16,41,0,57,N/A,N/A,0,360,0.11,2,1,10,5,4,3,9,3,high speed,No,N/A,y-86,Municipal,No,N/A,"3409 Westminster W. Rd.
Westminster West, VT 05346
(43.06482203100046, -72.54126743299963)",737,westwestlibrary.org,Westminster West
2011-2012,VT0050,DORSET,Dorset Village Public,PO Box 38,Rte. 30,Bennington,(802) 867-5774,35,12/31/2011,1989,0,0,30,0.75,42,1.05,72,1.8,10,3600,$0.00,$0.00,$0.00,$0.00,$0.00,$10000.00,$5.03,$55918.00,$65918.00,$0.00,$36.00,$0.00,$36.00,$0.00,N/A,N/A,N/A,$15886.00,$7.99,$57324.00,$5219.00,$62543.00,$23555.00,$101984.00,$51.27,$0.00,$0 ,N/A,N/A,24765,12.45,0,0,0,1747,0,0,1427,27939,75,0,75,25,0,0,0,1007,50.63%,14040,7.06,1612,0.81,N/A,N/A,18659,9.38,0.67%,16,83,18,1,0,19,565,95,0,660,0.33,0,0,0,7,5,80,57,12,high speed,No,na,y-98,Incorporated,Yes,Library World,"Rte. 30
Dorset, VT 05251
(43.21269003000049, -73.06728983499966)",38,http://www.dorsetlibraryinfo.org,Dorset
2011-2012,VT0142,KILLINGTON,Sherburne Memorial,PO Box 73 ,2998 River Rd.,Rutland,(802) 422-9765,39,12/31/2011,794,0,0,80,2,25,0.625,105,2.625,18,7540,$4784.00,$0.00,$0.00,$0.00,$4784.00,$224535.00,$282.79,$7484.00,$232234.00,$100.00,$0.00,$0.00,$100.00,$215.00,$17960.00,$3380.00,$8858.00,$30198.00,$38.03,$98395.00,$48460.00,$146855.00,$50337.00,$227390.00,$286.39,$0.00,"$2,675 ",N/A,N/A,19355,24.38,55,N/A,N/A,1295,N/A,N/A,1480,22130,N/A,N/A,62,26,0,N/A,N/A,1985,250%,34580,43.55,14560,18.34,N/A,N/A,54267,68.35,2.45%,30,190,38,62,4,104,1186,1985,20,3191,4.02,2,0,1,20,12,75,282,106,high speed,No,N/A,y-98,Municipal,Yes,Mandarin M3,"2998 River Rd.
Killington, VT 05751
(43.67164953100047, -72.77635733399967)",73,wwwhttp://sherlib.wordpress.com,Killington
2011-2012,VT0144,SHREWSBURY,Shrewsbury,PO Box 396,98 Town Hill Rd.,Rutland,(802) 492-3410,17.34615385,12/31/2011,1018,0,0,0,0,0,0,0,0,50,2705,$0.00,$0.00,$0.00,$0.00,$0.00,$7500.00,$7.37,$21739.00,$29239.00,$100.00,$50.00,$0.00,$150.00,N/A,$2593.00,$390.00,$786.00,$3769.00,$3.70,$0.00,$0.00,$0.00,$12534.00,$16303.00,$16.01,$150.00,"$2,559 ",6566,2384,8950,8.79,0,1012,335,1347,162,88,250,10547,25,0,25,1,0,247,49,296,29.08%,3224,3.17,416,0.41,3245,639,3884,3.82,0.37%,17,16,20,23,0,43,517,354,0,871,0.86,N/A,0,0,3,2,8,7,2,high speed,No,N/A,y-86,Incorporated,No,KOHA,"98 Town Hill Rd.
Shrewsbury, VT 05738
(43.48944114900047, -72.88091227299964)",396,Shrewsburylibrary.org,Shrewsbury
2011-2012,VT0033,CASTLETON,Castleton Free,PO Box 296 Main.St.,638 Main St.,Rutland,(802) 468-5574,26.84615385,06/30/2012,5295,0,0,48,1.2,4,0.1,52,1.3,20,4283,$0.00,$0.00,$0.00,$0.00,$0.00,$102024.00,$19.27,$1270.00,$103294.00,$100.00,$55.00,$0.00,$155.00,$0.00,$9693.00,$1524.00,$3778.00,$14995.00,$2.83,$48002.00,$11066.00,$59068.00,$24729.00,$98792.00,$18.66,$155.00,$0 ,N/A,N/A,20586,3.89,0,N/A,N/A,3201,N/A,N/A,719,24506,26,7,33,26,0,2138,923,3061,57.81%,8580,1.62,0,0,7585,4907,12492,2.36,0.51%,17,131,35,72,4,111,844,1455,37,2336,0.44,39,1,44,11,8,43,25,N/A,high speed,No,N/A,y-86,Incorporated,Yes,KOHA,"638 Main St.
Castleton, VT 05735
(43.611646159000486, -73.17829737799963)",296,castletonfreelibrary.org,Castleton
2011-2012,VT0125,READSBORO,Readsboro Community,301 Phelps Ln.,301 Phelps Ln.,Bennington,(802) 423-5460,30.8,12/31/2011,814,0,0,26,0.65,19,0.475,45,1.125,2,924,$0.00,$0.00,$0.00,$0.00,$0.00,$24932.00,$30.63,$500.00,$25432.00,$100.00,$50.00,$0.00,$150.00,$0.00,$1715.00,$250.00,$499.00,$2464.00,$3.03,$17850.00,$1366.00,$19216.00,$3502.00,$25182.00,$30.94,$0.00,$0 ,N/A,N/A,8216,10.09,0,N/A,N/A,728,N/A,N/A,212,9156,10,9,19,25,0,95,86,181,22.24%,6240,7.67,4472,5.49,1955,2839,4794,5.89,0.52%,2,16,7,38,0,45,186,239,0,425,0.52,60,24,0,5,5,8,80,12,high speed,Children Only,Sonic Wall,y-86,Community (joint school-public),Yes,Follett,"301 Phelps Ln.
Readsboro, VT 05350
(42.771405882000465, -72.94067284099964)",248,www.readsborocommunitylibrary.wordpress.com,Readsboro
2011-2012,VT0149,STARKSBORO,Starksboro Public,PO Box 124 ,2827 Rte. 116,Addison,(802) 453-3732,19,06/30/2012,1903,0,0,17,0.425,7,0.175,24,0.6,8,1500,$0.00,$0.00,$0.00,$0.00,$0.00,$23345.00,$12.27,$1446.00,$24791.00,$100.00,$21.00,$0.00,$121.00,N/A,$2294.00,$181.00,$91.00,$2566.00,$1.35,$13772.00,$1694.00,$15466.00,$6135.00,$24167.00,$12.70,$100.00,$0 ,2109,2445,4554,2.39,0,420,140,560,N/A,N/A,215,5329,N/A,N/A,10,1,0,N/A,N/A,621,32.63%,3536,1.86,0,0,1345,1953,3553,1.87,0.67%,2,171,N/A,N/A,N/A,181,N/A,N/A,N/A,1721,0.9,4,10,3,2,1,0,8,N/A,high speed,No,n/a,y-86,Municipal,No,n/a,"2827 Rte. 116
Starksboro, VT 05487
(44.22521294900048, -73.05698778199962)",124,starksborolibrary.wordpress.com,Starksboro
2011-2012,VT0170,WARREN,Warren Public,PO Box 287,413 Main Street,Washington,(802) 496-3913,31,12/31/2011,1464,33,0.825,40,1,23,0.575,63,1.575,19,1450,$0.00,$0.00,$0.00,$0.00,$0.00,$81688.00,$55.80,$5843.00,$87531.00,$0.00,$77.00,$0.00,$77.00,N/A,$9597.00,$758.00,$2615.00,$12970.00,$8.86,$51818.00,$14783.00,$66601.00,$7960.00,$87531.00,$59.79,$542.00,$0 ,5379,2955,8334,5.69,0,875,90,965,668,149,817,10116,28,6,34,26,0,764,30,794,54.23%,8580,5.86,156,0.11,11587,4647,16234,11.09,1.6%,179,199,43,54,0,97,1010,1148,0,2158,1.47,0,0,0,7,5,15,15,4,high speed,No,none,y-98,Municipal,Yes,open access--Koha,"413 Main Street
Warren, VT 05674
(44.11277813400045, -72.85596623799967)",287,http://www.warrenlibrary.com/warren/,Warren
2011-2012,VT0217,VERSHIRE,Vershire Community,PO Box 112,Rt. 113,Orange,(802) 685-9982,N/R,N/R,590,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,300,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"Rt. 113
Vershire, VT 05079
(43.962660395000455, -72.29188706199966)",112,N/R,Vershire
2011-2012,VT0115,PITTSFORD,Maclure ,PO Box 60,840 Arch St.,Rutland,(802) 483-2972,34,12/31/2011,3012,0,0,40,1,39,0.975,79,1.975,10,3000,$0.00,$0.00,$0.00,$0.00,$0.00,$60000.00,$19.92,$15381.00,$76042.00,$2600.00,$138.00,$6300.00,$9038.00,$661.00,$16863.00,$1539.00,$2593.00,$20995.00,$6.97,$57620.00,$4258.00,$61878.00,$32673.00,$115546.00,$38.36,$9300.00,$0 ,7308,3980,11288,3.75,0,125,65,190,895,15,910,12388,0,0,0,25,0,0,0,1002,33.27%,40040,13.29,10400,3.45,9500,7628,17128,5.69,1.38%,117,279,25,92,0,117,511,3986,0,4497,1.49,42,0,20,10,7,1100,152,35,high speed,No,n/a,y-98,Incorporated,No,n/a,"840 Arch St.
Pittsford, VT 05673
(43.7060767640005, -73.02697365899962)",60,www.maclurelibrary.org,Pittsford
2011-2012,VT0017,BETHEL,Bethel Public,PO Box 354,106 Main St.,Windsor,(802) 234-9107,N/R,N/R,2092,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,1500,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"106 Main St.
Bethel, VT 05032
(43.82977294500046, -72.63184041699964)",354,N/R,Bethel
2011-2012,VT0116,PLAINFIELD,Cutler Memorial,PO Box 186,151 High St.,Washington,(802) 454-8504,20.80769231,06/30/2012,1307,0,0,24,0.6,0,0,24,0.6,18,1125,$0.00,$0.00,$0.00,$0.00,$0.00,$26000.00,$19.89,$19142.00,$45142.00,$0.00,$3310.00,$0.00,$3310.00,N/A,$5346.00,$250.00,N/A,$5596.00,$4.28,$14240.00,$3556.00,$17796.00,$25074.00,$48466.00,$37.08,$4200.00,$0 ,N/A,N/A,7467,5.71,0,N/A,N/A,921,N/A,N/A,239,8627,6,1,7,3,0,N/A,N/A,765,58.53%,3380,2.59,416,0.32,N/A,N/A,4820,3.69,0.56%,7,213,N/A,N/A,N/A,37,N/A,N/A,N/A,150,0.11,0,12,7,4,2,12,7,5,high speed,No,n/a,y-86,Incorporated,Yes,LibraryWorld,"151 High St.
Plainfield, VT 05667
(44.27784218800048, -72.42868575199964)",186,www.cutlerlibrary.org,Plainfield
2011-2012,VT0179,WESTFORD,Westford Public,PO Box 86,1717 VT Rte. 128,Chittenden,(802) 878-5639,24,06/30/2012,2089,28,0.7,28,0.7,2,0.05,30,0.75,8,2130,$0.00,$0.00,$0.00,$0.00,$0.00,$53653.00,$25.68,$500.00,$54153.00,$0.00,$62.00,$0.00,$62.00,N/A,$4439.00,$770.00,$649.00,$5858.00,$2.80,$28489.00,$2905.00,$31394.00,$16901.00,$54153.00,$25.92,$0.00,"$10,000 ",N/A,N/A,8863,4.24,362,316,188,504,138,286,424,9791,21,2,23,24,0,N/A,N/A,847,40.55%,4992,2.39,936,0.45,N/A,2567,11227,5.37,1.15%,7,291,N/A,92,N/A,311,990,573,N/A,1563,0.75,0,0,0,4,3,5,10,N/A,high speed,No,n/a,y-86,Municipal,Yes,LibraryWorld,"1717 VT Rte. 128
Westford, VT 05494
(44.612026899000455, -73.01137972299966)",86,http://westfordpubliclibrary.org,Westford
2011-2012,VT0139,SHARON,Baxter Memorial,PO Box 87,5114 Rte. 14,Windsor,(802) 763-2875,13.7254902,06/30/2012,1736,0,0,15,0.375,0,0,15,0.375,2,875,$0.00,$0.00,$0.00,$0.00,$0.00,$13617.00,$7.84,$2429.00,$16046.00,$100.00,$55.00,$0.00,$155.00,N/A,$1739.00,$188.00,$56.00,$1983.00,$1.14,$8758.00,$736.00,$9494.00,$7335.00,$18812.00,$10.84,$155.00,$0 ,3468,1986,5454,3.14,0,N/A,N/A,180,N/A,N/A,222,5856,3,0,3,1,0,N/A,N/A,835,48.1%,2080,1.2,260,0.15,1380,799,2179,1.26,0.37%,5,67,1,2,0,3,21,62,0,83,0.05,0,0,0,3,2,4,10,N/A,high speed,No,N/A,y-86,Incorporated,No,N/A,"5114 Rte. 14
Sharon, VT 05065
(43.78379653500048, -72.45619366299962)",87,none,Sharon
